uloha;varianta;varianta_en;metoda_reseni;metoda_reseni_en;pocet_reseni;nazev_souboru;zapsal(a) česky;zapsal(a) anglicky;zkontroloval(a) na webu;svg_ilustrace;;;;;;;;;;;;;;;;;;;;
např. BBB, PPP...; BUDE POUŽITO JAKO NÁZEV;varianta přeložena do angličtiny;přepsat z prvního listu;metoda řešení přeložena do angličtiny;pouze číslo;stejný název pro .ggb a .txt soubor - bez diakritiky a mezer // překlad má na konci _en.txt;kdo zapsal informace do řádku?;kdo zapsal řádky v en?;zatím nic;!nevyplňovat ani neměnit!;;;;;;;;;;;;;;;;;;;;
PPP;Tři různoběžné přímky;Three diverging lines;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;ppp-tri_ruznobezky;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-20"" y1=""30"" x2=""102"" y2=""90"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""80"" </svg>x2=""100"" y2=""-1"" stroke=""black"" stroke-width=""3""/> <line x1=""25"" y1=""-3"" x2=""80"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
PPP;Rovnoběžné přímky a jedna různoběžná přímka;Two parallel lines and a diverging line;Stejnolehlost;Dilation;2;ppp-dve_rovnobezky_a_ruznobezka;;Šimon;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""35"" x2=""110"" y2=""40"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""75"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""-30"" x2=""80"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
PP;Různoběžné přímky;Diverging lines;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;pp_dve_ruznobezne;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""35"" x2=""110"" y2=""40"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""-30"" x2=""80"" y2=""110"" stroke=""black"" stroke-width=""3""/><svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""35"" x2=""110"" y2=""40"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""-30"" x2=""80"" y2=""110"" stroke=""black"" stroke-width=""3""/><svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""35"" x2=""110"" y2=""40"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""-30"" x2=""80"" y2=""110"" stroke=""black"" stroke-width=""3""/>";;;;;;;;;;;;;;;;;;;;
PP;Rovnoběžné přímky;Parallel lines;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;pp_dve_rovnobezne;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""35"" x2=""110"" y2=""40"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""75"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
PKK;kružnice uvnitř sebe, přímka je tečnou vnější;Two circles inside each other, line tangent to the outside circle;Kruhová inverze;Circle inversion;2;kkp_kruznice_uvnitr_sebe_primka_tecnou_vnejsi_euklidovsky;;;;;;;;;;;;;;;;;;;;;;;;
PKK;kružnice uvnitř sebe, přímka prochází pásem mezi kružnicemi;Two circles inside each other, line passing between the circles;Kruhová inverze;Circle inversion;4;kkp_kruznice_uvnitr_sebe_primka_prochazi_pasem_euklidovsky;;;;;;;;;;;;;;;;;;;;;;;;
PKK;kružnice uvnitř sebe, přímka je tečnou vnitřní;Two circles inside each other, line tangent to the inside circle;Kruhová inverze;Circle inversion;4;kkp_kruznice_uvnitr_sebe_primka_tecnou_vnitrni_euklidovsky;;;;;;;;;;;;;;;;;;;;;;;;
PK;Kružnice protíná přímku;The circle intersects the line;Množina bodů daných vlastností;Loci of points satysfying certain properties;∞;pk_protinaji_se;Maky;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
PK;Kružnice a přímka, bez dotyku;Circle and line without contact;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;pk_obecne;;;;;;;;;;;;;;;;;;;;;;;;
